"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This code's role is to test https://reqres.in's API server, using get -> post -> put -> delete","260","test_07_delete_user","test_cases","Thu Apr 17 11:28:11 IDT 2025","passed","Thu Apr 17 11:28:11 IDT 2025","Test_API","test_api","",""
"this test inputs several numbers into the calculator and checks if the results apply","5940","test_mortgage_calculator_save","test_cases","Thu Apr 17 12:39:32 IDT 2025","passed","Thu Apr 17 12:39:38 IDT 2025","Test_Mobile","test_mobile","",""
"this test inputs several numbers into the calculator and checks if the results apply","9136","test_mortgage_calculator_sums[9.99-1-100-1.66-.83-no]","test_cases","Thu Apr 17 12:39:14 IDT 2025","passed","Thu Apr 17 12:39:23 IDT 2025","Test_Mobile","test_mobile","",""
"This code's role is to test https://reqres.in's API server, using get -> post -> put -> delete","250","test_01_get_all_employees_from_page_1","test_cases","Thu Apr 17 11:28:08 IDT 2025","passed","Thu Apr 17 11:28:08 IDT 2025","Test_API","test_api","",""
"This code's role is to test https://reqres.in's API server, using get -> post -> put -> delete","434","test_03_get_all_users_data_only","test_cases","Thu Apr 17 11:28:08 IDT 2025","passed","Thu Apr 17 11:28:09 IDT 2025","Test_API","test_api","",""
"This code's role is to test https://reqres.in's API server, using get -> post -> put -> delete","226","test_06_get_users_by_id[1]","test_cases","Thu Apr 17 11:28:10 IDT 2025","passed","Thu Apr 17 11:28:11 IDT 2025","Test_API","test_api","",""
"This test verifies the result of a more complex calculation","5907","Test02: Complex calculation","test_cases","Thu Apr 17 12:56:16 IDT 2025","passed","Thu Apr 17 12:56:22 IDT 2025","Test_Desktop","test_desktop","",""
"This code's role is to test https://reqres.in's API server, using get -> post -> put -> delete","216","test_06_get_users_by_id[4]","test_cases","Thu Apr 17 11:28:11 IDT 2025","passed","Thu Apr 17 11:28:11 IDT 2025","Test_API","test_api","",""
"This code's role is to test https://reqres.in's API server, using get -> post -> put -> delete","277","test_04_create_user","test_cases","Thu Apr 17 11:28:09 IDT 2025","passed","Thu Apr 17 11:28:09 IDT 2025","Test_API","test_api","",""
"this test clicks on the hero pictures, then inputs their credentials, logins, then verifies the hero's title","35297","test_heroes[thor-THOR-THORROCKS-Thor]","test_cases","Thu Apr 17 14:42:45 IDT 2025","passed","Thu Apr 17 14:43:20 IDT 2025","Test_Web","test_web","",""
